"station_id","occupancy_rate","max_gap_hours","sessions_count"
"2-39-131-30","0.42928266460905349785","45.1347222222222222","155"
"2-39-139-28","0.39934413580246913557","197.2061111111111111","176"
"2-39-79-379","0.36000038580246913597","79.7433333333333333","89"
"2-39-89-25","0.35582227366255144057","75.4769444444444444","127"
"2-39-91-437","0.35408256172839506187","83.5022222222222222","85"
"2-39-123-23","0.30931532921810699585","90.4358333333333333","89"
"2-39-79-377","0.30012757201646090518","63.6880555555555556","97"
"2-39-129-17","0.29778536522633744874","69.2463888888888889","109"
"2-39-79-380","0.29383333333333333341","70.9177777777777778","81"
"2-39-95-27","0.28327160493827160499","87.0361111111111111","81"
"2-39-127-19","0.26557921810699588478","87.4216666666666667","102"
"2-39-78-366","0.25674382716049382705","86.0655555555555556","84"
"2-39-79-378","0.24112744341563786008","81.8291666666666667","78"
"2-39-79-381","0.23382124485596707824","167.7261111111111111","62"
"2-39-79-383","0.22216833847736625514","92.3508333333333333","66"
"2-39-78-365","0.21085879629629629629","88.2252777777777778","71"
"2-39-92-442","0.20281262860082304515","108.4725000000000000","61"
"2-39-125-21","0.20099678497942386824","92.5505555555555556","83"
"2-39-79-376","0.19595048868312757199","112.9022222222222222","63"
"2-39-130-31","0.18168544238683127558","119.4630555555555556","77"
"2-39-138-29","0.16886046810699588478","118.6147222222222222","81"
"2-39-90-26","0.16675964506172839510","112.6219444444444444","55"
"2-39-78-363","0.16281057098765432094","112.8636111111111111","59"
"2-39-95-444","0.15698443930041152255","140.9536111111111111","52"
"2-39-78-361","0.15048739711934156390","135.8552777777777778","67"
"2-39-78-367","0.14860841049382716062","114.6411111111111111","57"
"2-39-78-364","0.14801658950617283945","135.6688888888888889","49"
"2-39-92-436","0.14035210905349794234","106.4655555555555556","47"
"2-39-124-22","0.12639531893004115238","119.2666666666666667","59"
"2-39-88-438","0.12518942901234567894","213.8177777777777778","35"
"2-39-128-18","0.12488554526748971181","255.7188888888888889","45"
"2-39-88-24","0.12210686728395061736","128.8813888888888889","55"
"2-39-78-360","0.12186869855967078188","116.2208333333333333","53"
"2-39-79-382","0.11581340020576131670","786.0933333333333333","31"
"2-39-83-386","0.11140933641975308647","182.5783333333333333","45"
"2-39-90-440","0.10906725823045267495","138.6713888888888889","39"
"2-39-89-439","0.10269071502057613176","183.0291666666666667","32"
"2-39-78-362","0.08807934670781893004","187.3669444444444444","29"
"2-39-91-441","0.08751131687242798352","306.4388888888888889","29"
"2-39-124-558","0.07147685185185185190","303.3450000000000000","19"
"2-39-126-20","0.06043428497942386827","213.2452777777777778","30"
